,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
123,18,2015,31.165,0.761,1424167,63,0.657,152.8,3.43929567,-0.273121921,14.16909764,4.143134726,-0.42007126,5.029129877,,,,
124,18,2016,31.897,0.76,1467315,60,0.659,157.4,3.462511961,-0.274436846,14.19894476,4.094344562,-0.417031744,5.058790336,,,,
125,18,2017,32.691,0.763,1514923,61,0.664,162.3,3.487099811,-0.270497248,14.23087517,4.110873864,-0.40947313,5.089446475,,,,
126,18,2018,35.653,0.766,1565400,61,0.664,166.4,3.573833295,-0.266573109,14.26365194,4.110873864,-0.40947313,5.114394528,,,,
127,19,2012,6199.836,0.756,169240750,43,0.628,567.7,8.732278119,-0.279713903,18.94683282,3.761200116,-0.465215113,6.34159311,,,,
128,19,2013,6654.485,0.76,171300683,42,0.668,581.3,8.803046342,-0.274436846,18.95893095,3.737669618,-0.403467105,6.365266975,,,,
129,19,2014,6804.602,0.759,173346772,42,0.674,643,8.825354427,-0.275753502,18.97080461,3.737669618,-0.394525168,6.466144724,,,,
130,19,2015,6630.012,0.752,175375436,38,0.677,630.6,8.799361893,-0.285018955,18.98243958,3.63758616,-0.390084006,6.446671747,,,,
131,19,2016,6449.844,0.745,177386818,40,0.685,654.7,8.771811223,-0.294371061,18.99384332,3.688879454,-0.378336441,6.484177115,,,,
132,19,2017,6360.605,0.746,179379301,37,0.689,658.9,8.757878778,-0.293029679,19.00501312,3.610917913,-0.372514008,6.490571778,,,,
133,19,2018,6472.538,0.747,181335507,35,0.689,662.1,8.775323583,-0.291690094,19.0158595,3.555348061,-0.372514008,6.495416602,,,,
134,20,2012,12.998,1,301859,55,0.709,20.9,2.564795499,0,12.6177153,4.007333185,-0.343899752,3.039749159,,,,
135,20,2013,13.269,1,307348,58,0.711,22.5,2.585430488,0,12.63573594,4.060443011,-0.341082849,3.113515309,,,,
136,20,2014,13.342,1,312785,60,0.71,20.1,2.590916954,0,12.65327133,4.094344562,-0.342490309,3.000719815,,,,
137,20,2015,13.993,1,318080,60,0.705,21.8,2.638557205,0,12.6700582,4.094344562,-0.349557476,3.08190997,,,,
138,20,2016,14.912,1,323204,58,0.705,21.9,2.702166258,0,12.68603898,4.060443011,-0.349557476,3.086486637,,,,
139,20,2017,17.271,1,328169,62,0.701,25.9,2.849028794,0,12.701284,4.127134385,-0.355247392,3.254242969,,,,
140,20,2018,18.141,1,332999,63,0.703,27.8,2.89817457,0,12.71589477,4.143134726,-0.352398387,3.325036021,,,,
141,21,2012,196.566,0.763,5331472,41,0.764,654.1,5.280998253,-0.270497248,15.48913793,3.713572067,-0.26918749,6.483260245,,,,
142,21,2013,213.067,0.763,5326274,41,0.779,689.8,5.36160667,-0.270497248,15.48816249,3.713572067,-0.249744233,6.536401701,,,,
143,21,2014,215.673,0.768,5320503,41,0.786,731.1,5.373763372,-0.263965546,15.48707841,3.713572067,-0.240798487,6.594550249,,,,
144,21,2015,217.619,0.773,5310996,41,0.811,709.9,5.382745827,-0.25747623,15.48528995,3.713572067,-0.209487225,6.565124115,,,,
145,21,2016,232.004,0.782,5298039,41,0.812,825.2,5.446754613,-0.245900538,15.48284731,3.713572067,-0.208254939,6.715625781,,,,
146,21,2017,253,0.792,5283539,43,0.805,888.3,5.533389489,-0.233193887,15.4801067,3.761200116,-0.216913002,6.789309524,,,,
147,21,2018,273.084,0.798,5269340,42,0.805,927.3,5.60977944,-0.225646682,15.47741568,3.737669618,-0.216913002,6.832277138,,,,
148,22,2012,58.122,0.408,4269913,38,0.253,23.7,4.06254425,-0.896488105,15.26710401,3.63758616,-1.37436579,3.165475048,,,,
149,22,2013,63.96,0.413,4497993,38,0.261,21.8,4.158257888,-0.884307686,15.31914186,3.63758616,-1.343234872,3.08190997,,,,
150,22,2014,68.951,0.413,4736618,38,0.264,19.1,4.233396107,-0.884307686,15.37083394,3.63758616,-1.331806176,2.949688335,,,,
151,22,2015,70.772,0.414,4985855,38,0.277,16.3,4.259463442,-0.881889305,15.42211546,3.63758616,-1.283737773,2.791165108,,,,
152,22,2016,71.453,0.417,5245972,42,0.286,15.2,4.269039891,-0.874669057,15.4729711,3.737669618,-1.251763468,2.721295428,,,,
153,22,2017,74.965,0.423,5516726,42,0.298,14.3,4.317021338,-0.8603831,15.52329513,3.737669618,-1.210661792,2.660259537,,,,
154,22,2018,83.28,0.428,5798656,41,0.3,14.4,4.422208424,-0.848632083,15.57313672,3.713572067,-1.203972804,2.667228207,,,,
155,23,2012,30.388,0.304,1034996,19,0.399,14.7,3.414047794,-1.190727578,13.84990812,2.944438979,-0.918793862,2.687847494,,,,
156,23,2013,32.682,0.307,1095416,21,0.408,23.4,3.486824468,-1.180907531,13.90664476,3.044522438,-0.896488105,3.152736022,,,,
157,23,2014,35.373,0.308,1159264,21,0.419,23.5,3.565948817,-1.177655496,13.96329588,3.044522438,-0.869884359,3.157000421,,,,
158,23,2015,36.9,0.297,1227128,21,0.424,13.1,3.608211551,-1.21402314,14.02018704,3.044522438,-0.858021824,2.57261223,,,,
159,23,2016,37.506,0.292,1299253,20,0.429,18.7,3.62450092,-1.231001477,14.07730004,2.995732274,-0.84629836,2.928523524,,,,
160,23,2017,39.355,0.287,1375682,22,0.413,29.9,3.672623032,-1.248273063,14.13446017,3.091042453,-0.884307686,3.39785848,,,,
161,23,2018,43.965,0.285,1456375,17,0.418,39.8,3.783393863,-1.255266099,14.19146103,2.833213344,-0.872273846,3.683866912,,,,
162,24,2012,88.291,0.495,3109364,22,0.455,358.4,4.480638177,-0.703197516,14.94992876,3.091042453,-0.78745786,5.881649681,,,,
163,24,2013,93.356,0.505,3217889,20,0.46,421,4.536420142,-0.68319685,14.98423611,2.995732274,-0.776528789,6.042632834,,,,
164,24,2014,101.522,0.512,3329689,20,0.465,450.3,4.620275524,-0.669430654,15.01838946,2.995732274,-0.765717873,6.109914027,,,,
165,24,2015,107.39,0.518,3443896,21,0.468,477.5,4.676467068,-0.657780037,15.05211395,3.044522438,-0.759286983,6.16856416,,,,
166,24,2016,114.435,0.526,3560344,21,0.472,501.2,4.740006976,-0.642454066,15.08536773,3.044522438,-0.750776293,6.217005223,,,,
167,24,2017,123.731,0.533,3678963,21,0.476,560.2,4.818109854,-0.629233855,15.11814148,3.044522438,-0.742337425,6.328293863,,,,
168,24,2018,147.17,0.541,3800503,20,0.476,620.1,4.991588381,-0.614336,15.15064398,2.995732274,-0.742337425,6.429880755,,,,
169,25,2012,93.883,0.51,11337560,26,0.51,81.7,4.542049326,-0.673344553,16.24363167,3.258096538,-0.673344553,4.403054002,,,,
170,25,2013,106.423,0.513,11783316,25,0.519,78.3,4.667421719,-0.667479434,16.28219519,3.218875825,-0.655851396,4.360547603,,,,
171,25,2014,115.307,0.519,12242760,25,0.531,82.2,4.747598137,-0.655851396,16.3204453,3.218875825,-0.632993258,4.409155302,,,,
172,25,2015,117.709,0.522,12715783,27,0.545,89.7,4.768215477,-0.650087691,16.35835454,3.295836866,-0.606969484,4.496470769,,,,
173,25,2016,117.72,0.525,13202425,26,0.558,99.4,4.768308923,-0.644357016,16.39591108,3.258096538,-0.583396317,4.599152114,,,,
174,25,2017,120.926,0.526,13702203,25,0.564,108.1,4.795178788,-0.642454066,16.43306718,3.218875825,-0.572701027,4.683056725,,,,
175,25,2018,132.476,0.528,14215401,25,0.564,115.7,4.886401497,-0.638658995,16.46983651,3.218875825,-0.572701027,4.751000634,,,,
176,26,2012,4743.395,0.91,28166078,84,0.862,1634.4,8.464508403,-0.094310679,17.1536289,4.430816799,-0.148500008,7.399031044,,,,
177,26,2013,5189.344,0.912,28479640,81,0.868,1605.9,8.554362571,-0.092115289,17.1647,4.394449155,-0.141563564,7.381439626,,,,
178,26,2014,5501.723,0.914,28781576,81,0.878,1653.7,8.612816595,-0.089924708,17.17524602,4.394449155,-0.130108685,7.410770481,,,,
179,26,2015,5556.154,0.914,29011826,83,0.885,1797.1,8.622661421,-0.089924708,17.1832141,4.418840608,-0.122167634,7.493929534,,,,
180,26,2016,5453.71,0.915,29357013,82,0.89,1997.1,8.60405139,-0.088831214,17.19504202,4.406719247,-0.116533816,7.599451407,,,,
181,26,2017,5463.37,0.918,29727992,82,0.891,2088.3,8.605821094,-0.085557888,17.20759965,4.406719247,-0.115410852,7.644105617,,,,
182,26,2018,5806.876,0.918,30169097,81,0.891,2113.4,8.666798012,-0.085557888,17.22232868,4.394449155,-0.115410852,7.656053304,,,,
183,27,2012,48.764,0.445,2830799,19,0.278,8.6,3.886992336,-0.809680997,14.85606956,2.944438979,-1.280134165,2.151762203,,,,
184,27,2013,52.58,0.445,2941280,19,0.286,9.7,3.962335819,-0.809680997,14.89435542,2.944438979,-1.251763468,2.272125886,,,,
185,27,2014,57.119,0.45,3056811,19,0.295,11.9,4.045136811,-0.798507696,14.93288277,2.944438979,-1.220779923,2.4765384,,,,
186,27,2015,59.534,0.452,3177086,22,0.283,12,4.086547578,-0.794073099,14.97147498,3.091042453,-1.262308381,2.48490665,,,,
187,27,2016,60.01,0.44,3302149,20,0.278,9.8,4.094511215,-0.820980552,15.01008403,2.995732274,-1.280134165,2.282382386,,,,
188,27,2017,61.884,0.431,3432534,20,0.288,8.7,4.125261665,-0.841647189,15.04880932,2.995732274,-1.244794799,2.163323026,,,,
189,27,2018,68.249,0.429,3569015,19,0.288,7.72,4.223162782,-0.84629836,15.08780021,2.944438979,-1.244794799,2.043814364,,,,
190,28,2012,541.323,0.802,15171189,72,0.751,355.4,6.294016143,-0.220646671,16.53490873,4.276666119,-0.286349627,5.873243916,,,,
191,28,2013,609.401,0.807,15330437,71,0.774,357.6,6.412476508,-0.214431611,16.54535076,4.262679877,-0.256183405,5.879415043,,,,
